comune,ato,abitanti,kg di rifiuti differenziati (rdi),kg di rifiuti non differenziati (ruind),totale kg di rifiuti prodotti (rdi+ruind),anno,y_pred
Andretta,Avellino,1658.0,313.201,162.28,475.481,2021,485.33408153224445
Aquilonia,Avellino,1493.0,283.255,296.16,579.415,2021,587.1328031866858
Bonito,Avellino,2212.0,357.667,271.98,636.491,2021,637.2068147917237
Candida,Avellino,1085.0,214.955,136.46,351.415,2021,362.4994162514478
Capriglia Irpina,Avellino,2241.0,235.868,391.02,626.888,2021,633.2990327737846
Carife,Avellino,1291.0,211.434,176.56,387.994,2021,398.395927915879
Casalbore,Avellino,1595.0,316.89,196.98,513.87,2021,523.0794313371954
Cassano Irpino,Avellino,932.0,175.281,78.38,253.661,2021,266.08666548038815
Castel Baronia,Avellino,1063.0,174.31,102.4,276.71,2021,288.7178869046687
Castelfranci,Avellino,1802.0,348.705,193.669,542.374,2021,551.3914211882861
Castelvetere sul Calore,Avellino,1503.0,319.0,189.38,508.38,2021,517.7074146873226
Cesinali,Avellino,2558.0,648.941,249.99,898.931,2021,904.5855032614293
Chiusano di San Domenico,Avellino,2093.0,489.86,177.36,667.22,2021,675.4141951469298
Conza della Campania,Avellino,1265.0,208.496,189.48,397.976,2021,408.17224311056276
Domicella,Avellino,1838.0,717.985,60.0,718.045,2021,786.4605385351842
Flumeri,Avellino,2578.0,485.369,443.88,929.249,2021,932.7581269575589
Fontanarosa,Avellino,2863.0,617.566,321.75,939.316,2021,943.9467172338908
Gesualdo,Avellino,3256.0,653.023,342.53,995.553,2021,999.5363277359702
Guardia Lombardi,Avellino,1511.0,243.229,112.57,355.799,2021,367.08378718711606
Lacedonia,Avellino,2071.0,316.04,418.12,734.16,2021,739.4594224196796
Lapio,Avellino,1432.0,285.899,130.4,439.568,2021,426.9318191912752
Luogosano,Avellino,1095.0,320.749,114.84,435.589,2021,446.2228452691998
Marzano di Nola,Avellino,1614.0,596.217,118.74,714.957,2021,723.3515115048425
Melito Irpino,Avellino,1780.0,350.314,186.78,537.094,2021,546.2207588121977
Montecalvo Irpino,Avellino,3355.0,530.174,401.8,931.974,2021,935.8754302456837
Montefredane,Avellino,2115.0,472.71,324.684,797.394,2021,803.1139917702827
Montefusco,Avellino,1213.0,335.355,52.42,387.775,2021,399.3993201680181
Montemarano,Avellino,2622.0,452.65,379.16,859.185,2021,836.7231855032188
Monteverde,Avellino,714.0,168.627,77.8,246.427,2021,258.91536127549625
Morra De Sanctis,Avellino,1131.0,157.655,288.642,446.297,2021,455.137490271767
Ospedaletto d'Alpinolo,Avellino,2080.0,553.257,212.18,765.437,2021,772.515013451109
Pago del Vallo di Lauro,Avellino,1769.0,377.06,254.22,631.28,2021,639.0015831228684
Parolise,Avellino,639.0,176.774,91.49,271.002,2021,280.4457061184213
Paternopoli,Avellino,2142.0,481.397,226.48,707.877,2021,715.2678849840239
Petruro Irpino,Avellino,293.0,26.08,43.6,69.68,2021,83.89714072057444
Pietradefusi,Avellino,1914.0,386.033,330.34,716.373,2021,722.6756958062027
Pietrastornina,Avellino,1447.0,336.153,168.983,505.136,2021,514.6895357733222
Quadrelle,Avellino,1801.0,447.063,154.96,602.023,2021,610.9511049395169
Quindici,Avellino,1844.0,284.085,371.37,655.455,2021,661.8341874399626
Roccabascerana,Avellino,2327.0,615.77,218.64,834.41,2021,840.8810924499735
Rocca San Felice,Avellino,796.0,156.072,55.76,211.832,2021,224.80963505250702
Salza Irpina,Avellino,721.0,168.158,54.9,223.058,2021,235.95564800903023
San Mango sul Calore,Avellino,1076.0,231.425,67.3,298.725,2021,310.9045807679336
San Michele di Serino,Avellino,2426.0,500.357,400.46,900.817,2021,904.9770751238402
San Potito Ultra,Avellino,1457.0,368.625,164.0,538.1,2021,542.0109629974543
San Sossio Baronia,Avellino,1517.0,235.9,177.6,413.5,2021,423.6907540200561
Sant'Andrea di Conza,Avellino,1353.0,348.603,62.74,428.316,2021,422.68016458710133
Sant'Angelo all'Esca,Avellino,741.0,177.355,82.22,259.575,2021,271.91631369712536
Santa Paolina,Avellino,1166.0,230.95,139.04,369.99,2021,380.9027050520629
Santo Stefano del Sole,Avellino,2060.0,432.074,264.06,696.134,2021,703.2478779397811
Savignano Irpino,Avellino,1008.0,159.147,131.75,290.897,2021,302.5045172839227
Scampitella,Avellino,1042.0,213.639,110.66,324.299,2021,335.8507391735129
Sorbo Serpico,Avellino,532.0,131.558,38.42,169.978,2021,183.45588342003163
Sturno,Avellino,2814.0,679.335,274.25,953.585,2021,958.5703665491994
Summonte,Avellino,1488.0,318.096,184.78,502.876,2021,512.292009377885
Taurano,Avellino,1477.0,411.3,66.56,477.86,2021,488.63555212706353
Taurasi,Avellino,2174.0,513.339,246.24,759.579,2021,766.3682538748965
Teora,Avellino,1455.0,286.297,135.05,421.347,2021,431.89432542184113
Torella dei Lombardi,Avellino,1959.0,293.396,208.24,501.636,2021,510.831096798501
Trevico,Avellino,865.0,149.034,117.98,267.014,2021,278.94507837611894
Vallesaccarda,Avellino,1242.0,307.848,119.76,447.592,2021,438.2563448393153
Venticano,Avellino,2275.0,486.644,349.8,856.154,2021,841.609373260927
Villamaina,Avellino,910.0,158.013,115.56,273.573,2021,285.47619948843214
Villanova del Battista,Avellino,1465.0,287.538,145.3,432.838,2021,443.1940061170833
