comune,predizione_2024
Ailano,"37.135,00"
Alfano,"23.341,00"
Andretta,"456.288,00"
Apollosa,"668.798,00"
Aquara,"373.116,00"
Aquilonia,"424.828,00"
Arpaia,nan
Arpaise,"200.683,00"
Auletta,"594.163,00"
Baselice,"59.103,00"
Bellosguardo,"21.148,00"
Bonea,"50.167,00"
Bonito,"610.766,00"
Bucciano,"757.479,00"
Buonabitacolo,"74.893,00"
Buonalbergo,"448.316,00"
Caggiano,"783.194,00"
Caianello,"915.986,00"
Camigliano,"717.774,00"
Campolattaro,"333.244,00"
Campoli del Monte Taburno,"35.199,00"
Campora,"8.596,00"
Candida,"339.483,00"
Caposele,"96.884,00"
Capriati a Volturno,"3.704,00"
Capriglia Irpina,"634.316,00"
Carife,"381.995,00"
Casalbore,"507.422,00"
Casalbuono,"205.705,00"
Casalduni,"538.658,00"
Casaletto Spartano,"29.337,00"
Caselle in Pittari,"494.497,00"
Cassano Irpino,"27.187,00"
Castel Baronia,"283.032,00"
Castel Campagnano,"65.635,00"
Castel San Lorenzo,"614.556,00"
Castel di Sasso,"34.998,00"
Castelcivita,"59.846,00"
Castelfranci,"494.065,00"
Castelfranco in Miscano,"23.947,00"
Castelnuovo di Conza,"15.868,00"
Castelpagano,"401.535,00"
Castelpoto,"30.184,00"
Castelvenere,"7.194,00"
Castelvetere in Val Fortore,"199.913,00"
Castelvetere sul Calore,"470.909,00"
Castiglione del Genovesi,"372.085,00"
Cautano,"495.562,00"
Celle di Bulgheria,"55.212,00"
Ceraso,"602.979,00"
Cesinali,"928.365,00"
Cetara,nan
Chiusano di San Domenico,"70.604,00"
Cicerale,"382.337,00"
Ciorlano,"12.161,00"
Circello,"595.378,00"
Colle Sannita,"685.249,00"
Comiziano,"82.488,00"
Conca della Campania,"36.788,00"
Contrada,nan
Controne,"22.008,00"
Conza della Campania,"458.918,00"
Corleto Monforte,"16.411,00"
Cuccaro Vetere,"149.429,00"
Domicella,"70.668,00"
Dragoni,"72.695,00"
Dugenta,"81.572,00"
Durazzano,nan
Faicchio,"99.116,00"
Felitto,"234.674,00"
Flumeri,"958.544,00"
Foiano di Val Fortore,"340.122,00"
Fontanarosa,"922.897,00"
Forchia,"46.599,00"
Formicola,"77.844,00"
Fragneto Monforte,"607.531,00"
Fragneto l'Abate,"342.443,00"
Futani,"266.925,00"
Gallo Matese,"142.555,00"
Galluccio,"733.463,00"
Gesualdo,"989.805,00"
Ginestra degli Schiavoni,"8.787,00"
Giungano,"39.655,00"
Guardia Lombardi,"3.752,00"
Ispani,"41.257,00"
Lacedonia,"82.245,00"
Lapio,"429.217,00"
Laureana Cilento,"38.423,00"
Laurino,"31.884,00"
Laurito,"281.772,00"
Laviano,"47.619,00"
Letino,"20.601,00"
Liberi,"32.373,00"
Luogosano,"396.865,00"
Marzano Appio,"67.881,00"
Marzano di Nola,"616.881,00"
Melito Irpino,"50.918,00"
Mignano Monte Lungo,nan
Moio della Civitella,"546.961,00"
Molinara,"468.929,00"
Montano Antilia,"27.588,00"
Monte San Giacomo,"37.666,00"
Montecalvo Irpino,"96.589,00"
Monteforte Cilento,"13.424,00"
Montefredane,"755.438,00"
Montefusco,"36.011,00"
Montemarano,"863.755,00"
Monteverde,"2.193,00"
Morigerati,"231.399,00"
